"","pollster","date","start","end","respondents","party","percent","votes","state"
"185","infratestdimap",2022-02-24,2022-02-24,2022-02-24,1161,"greens",6,69.66,"sachsen-anhalt"
"186","infratestdimap",2022-02-24,2022-02-24,2022-02-24,1161,"fdp",5,58.05,"sachsen-anhalt"
"187","infratestdimap",2022-02-24,2022-02-24,2022-02-24,1161,"left",11,127.71,"sachsen-anhalt"
"188","infratestdimap",2022-02-24,2022-02-24,2022-02-24,1161,"afd",20,232.2,"sachsen-anhalt"
"189","infratestdimap",2022-02-24,2022-02-24,2022-02-24,1161,"others",9,104.49,"sachsen-anhalt"
"190","insa",2021-06-04,2021-06-04,2021-06-04,1132,"cdu",27,305.64,"sachsen-anhalt"
"191","insa",2021-06-04,2021-06-04,2021-06-04,1132,"spd",10,113.2,"sachsen-anhalt"
"192","insa",2021-06-04,2021-06-04,2021-06-04,1132,"greens",8,90.56,"sachsen-anhalt"
"193","insa",2021-06-04,2021-06-04,2021-06-04,1132,"fdp",7,79.24,"sachsen-anhalt"
"194","insa",2021-06-04,2021-06-04,2021-06-04,1132,"left",12,135.84,"sachsen-anhalt"
"195","insa",2021-06-04,2021-06-04,2021-06-04,1132,"afd",26,294.32,"sachsen-anhalt"
"196","insa",2021-06-04,2021-06-04,2021-06-04,1132,"others",10,113.2,"sachsen-anhalt"
"197","fgw",2021-06-03,2021-06-03,2021-06-03,1017,"cdu",30,305.1,"sachsen-anhalt"
"198","fgw",2021-06-03,2021-06-03,2021-06-03,1017,"spd",10,101.7,"sachsen-anhalt"
"199","fgw",2021-06-03,2021-06-03,2021-06-03,1017,"greens",9,91.53,"sachsen-anhalt"
"200","fgw",2021-06-03,2021-06-03,2021-06-03,1017,"fdp",6.5,66.105,"sachsen-anhalt"
"201","fgw",2021-06-03,2021-06-03,2021-06-03,1017,"left",11.5,116.955,"sachsen-anhalt"
"202","fgw",2021-06-03,2021-06-03,2021-06-03,1017,"afd",23,233.91,"sachsen-anhalt"
"203","fgw",2021-06-03,2021-06-03,2021-06-03,1017,"others",10,101.7,"sachsen-anhalt"
"204","fgw",2021-05-28,2021-05-28,2021-05-28,1008,"cdu",29,292.32,"sachsen-anhalt"
"205","fgw",2021-05-28,2021-05-28,2021-05-28,1008,"spd",10,100.8,"sachsen-anhalt"
"206","fgw",2021-05-28,2021-05-28,2021-05-28,1008,"greens",9,90.72,"sachsen-anhalt"
"207","fgw",2021-05-28,2021-05-28,2021-05-28,1008,"fdp",8,80.64,"sachsen-anhalt"
"208","fgw",2021-05-28,2021-05-28,2021-05-28,1008,"left",11,110.88,"sachsen-anhalt"
"209","fgw",2021-05-28,2021-05-28,2021-05-28,1008,"afd",23,231.84,"sachsen-anhalt"
"210","fgw",2021-05-28,2021-05-28,2021-05-28,1008,"others",10,100.8,"sachsen-anhalt"
"211","infratestdimap",2021-05-27,2021-05-27,2021-05-27,1249,"cdu",28,349.72,"sachsen-anhalt"
"212","infratestdimap",2021-05-27,2021-05-27,2021-05-27,1249,"spd",11,137.39,"sachsen-anhalt"
"213","infratestdimap",2021-05-27,2021-05-27,2021-05-27,1249,"greens",9,112.41,"sachsen-anhalt"
"214","infratestdimap",2021-05-27,2021-05-27,2021-05-27,1249,"fdp",8,99.92,"sachsen-anhalt"
"215","infratestdimap",2021-05-27,2021-05-27,2021-05-27,1249,"left",10,124.9,"sachsen-anhalt"
"216","infratestdimap",2021-05-27,2021-05-27,2021-05-27,1249,"afd",24,299.76,"sachsen-anhalt"
"217","infratestdimap",2021-05-27,2021-05-27,2021-05-27,1249,"others",10,124.9,"sachsen-anhalt"
"218","insa",2021-05-26,2021-05-26,2021-05-26,1000,"cdu",25,250,"sachsen-anhalt"
"219","insa",2021-05-26,2021-05-26,2021-05-26,1000,"spd",10,100,"sachsen-anhalt"
"220","insa",2021-05-26,2021-05-26,2021-05-26,1000,"greens",11,110,"sachsen-anhalt"
"221","insa",2021-05-26,2021-05-26,2021-05-26,1000,"fdp",8,80,"sachsen-anhalt"
"222","insa",2021-05-26,2021-05-26,2021-05-26,1000,"left",13,130,"sachsen-anhalt"
"223","insa",2021-05-26,2021-05-26,2021-05-26,1000,"afd",26,260,"sachsen-anhalt"
"224","insa",2021-05-26,2021-05-26,2021-05-26,1000,"others",7,70,"sachsen-anhalt"
"225","insa",2021-04-29,2021-04-29,2021-04-29,1042,"cdu",26,270.92,"sachsen-anhalt"
"226","insa",2021-04-29,2021-04-29,2021-04-29,1042,"spd",10,104.2,"sachsen-anhalt"
"227","insa",2021-04-29,2021-04-29,2021-04-29,1042,"greens",12,125.04,"sachsen-anhalt"
"228","insa",2021-04-29,2021-04-29,2021-04-29,1042,"fdp",6,62.52,"sachsen-anhalt"
"229","insa",2021-04-29,2021-04-29,2021-04-29,1042,"left",13,135.46,"sachsen-anhalt"
"230","insa",2021-04-29,2021-04-29,2021-04-29,1042,"afd",24,250.08,"sachsen-anhalt"
"231","insa",2021-04-29,2021-04-29,2021-04-29,1042,"others",9,93.78,"sachsen-anhalt"
"232","infratestdimap",2021-04-23,2021-04-23,2021-04-23,1202,"cdu",27,324.54,"sachsen-anhalt"
"233","infratestdimap",2021-04-23,2021-04-23,2021-04-23,1202,"spd",12,144.24,"sachsen-anhalt"
"234","infratestdimap",2021-04-23,2021-04-23,2021-04-23,1202,"greens",11,132.22,"sachsen-anhalt"
"235","infratestdimap",2021-04-23,2021-04-23,2021-04-23,1202,"fdp",8,96.16,"sachsen-anhalt"
"236","infratestdimap",2021-04-23,2021-04-23,2021-04-23,1202,"left",12,144.24,"sachsen-anhalt"
"237","infratestdimap",2021-04-23,2021-04-23,2021-04-23,1202,"afd",20,240.4,"sachsen-anhalt"
"238","infratestdimap",2021-04-23,2021-04-23,2021-04-23,1202,"others",10,120.2,"sachsen-anhalt"
"239","insa",2021-01-27,2021-01-27,2021-01-27,1084,"cdu",30,325.2,"sachsen-anhalt"
"240","insa",2021-01-27,2021-01-27,2021-01-27,1084,"spd",10,108.4,"sachsen-anhalt"
"241","insa",2021-01-27,2021-01-27,2021-01-27,1084,"greens",9,97.56,"sachsen-anhalt"
"242","insa",2021-01-27,2021-01-27,2021-01-27,1084,"fdp",5,54.2,"sachsen-anhalt"
"243","insa",2021-01-27,2021-01-27,2021-01-27,1084,"left",16,173.44,"sachsen-anhalt"
"244","insa",2021-01-27,2021-01-27,2021-01-27,1084,"afd",23,249.32,"sachsen-anhalt"
"245","insa",2021-01-27,2021-01-27,2021-01-27,1084,"others",7,75.88,"sachsen-anhalt"
"246","insa",2020-12-02,2020-12-02,2020-12-02,1079,"cdu",29,312.91,"sachsen-anhalt"
"247","insa",2020-12-02,2020-12-02,2020-12-02,1079,"spd",10,107.9,"sachsen-anhalt"
"248","insa",2020-12-02,2020-12-02,2020-12-02,1079,"greens",10,107.9,"sachsen-anhalt"
"249","insa",2020-12-02,2020-12-02,2020-12-02,1079,"fdp",4,43.16,"sachsen-anhalt"
"250","insa",2020-12-02,2020-12-02,2020-12-02,1079,"left",17,183.43,"sachsen-anhalt"
"251","insa",2020-12-02,2020-12-02,2020-12-02,1079,"afd",23,248.17,"sachsen-anhalt"
"252","insa",2020-12-02,2020-12-02,2020-12-02,1079,"others",7,75.53,"sachsen-anhalt"
"253","gms",2020-07-29,2020-07-29,2020-07-29,1003,"cdu",33,330.99,"sachsen-anhalt"
"254","gms",2020-07-29,2020-07-29,2020-07-29,1003,"spd",12,120.36,"sachsen-anhalt"
"255","gms",2020-07-29,2020-07-29,2020-07-29,1003,"greens",10,100.3,"sachsen-anhalt"
"256","gms",2020-07-29,2020-07-29,2020-07-29,1003,"fdp",4,40.12,"sachsen-anhalt"
"257","gms",2020-07-29,2020-07-29,2020-07-29,1003,"left",16,160.48,"sachsen-anhalt"
"258","gms",2020-07-29,2020-07-29,2020-07-29,1003,"afd",19,190.57,"sachsen-anhalt"
"259","gms",2020-07-29,2020-07-29,2020-07-29,1003,"others",6,60.18,"sachsen-anhalt"
"260","infratestdimap",2020-06-05,2020-06-05,2020-06-05,1003,"cdu",34,341.02,"sachsen-anhalt"
"261","infratestdimap",2020-06-05,2020-06-05,2020-06-05,1003,"spd",13,130.39,"sachsen-anhalt"
"262","infratestdimap",2020-06-05,2020-06-05,2020-06-05,1003,"greens",8,80.24,"sachsen-anhalt"
